0.357283206	0.442743995	0.599758606	0.842256702	1.975591451	2.745047106	3.548098721	4.367859548	5.195687619	6.02702687
0.650137201	0.707659804	0.796601171	1.032766363	2.070538265	2.816650192	3.607391194	4.418485987	5.241385244	6.071207737
0.900737335	0.889303792	0.917870495	1.12834565	2.160001587	2.912043371	3.708496593	4.526989652	5.337639065	6.153490344
1.019055585	1.023708853	1.090720213	1.27000676	2.232298084	2.98419216	3.765733903	4.574121429	5.396367577	6.228617329
1.164112807	1.061727966	1.210646518	1.445557547	2.270931748	3.08290389	3.844129624	4.638605728	5.451469096	6.276936174
1.327478466	1.107827645	1.276907998	1.588632255	2.316461396	3.20564352	3.942735895	4.721167192	5.523430717	6.335818393
1.406769232	1.161644417	1.35343411	1.650555674	2.367613039	3.348855535	4.059849913	4.81891733	5.606377265	6.411130089
1.473802208	1.222307355	1.439017814	1.720664435	2.422017709	3.509455478	4.194362748	4.933365563	5.704155039	6.496122658
1.547260506	1.288670719	1.532634939	1.79796635	2.479574578	3.6803825	4.345268304	5.060792617	5.815379556	6.594616415
1.595503498	1.360335358	1.632195122	1.881793496	2.538970631	3.729478841	4.508863616	5.201721031	5.938879218	6.703488182
1.644472159	1.436173821	1.691426437	1.971626341	2.575212257	3.783594825	4.58704227	5.356565764	6.075472129	6.8237998
