0.18180294	0.357313804	0.514367614	0.839516759	1.974672651	2.743674617	3.547693509	4.366215196	5.194208443	6.026543514
0.267449761	0.427130378	0.553443767	0.845589829	1.976658858	2.745824627	3.549368727	4.367538454	5.196248443	6.028648705
0.322826765	0.456978256	0.616722161	0.855382846	1.979409505	2.747000045	3.550209673	4.369474214	5.196347134	6.030706206
0.391591586	0.472769778	0.635658732	0.870468737	1.983412032	2.750804675	3.553171998	4.370835484	5.199582436	6.030749453
0.415655336	0.492441865	0.658489748	0.876559493	1.989147676	2.754791624	3.556386659	4.373561277	5.200656054	6.033569589
0.444492108	0.514545148	0.669072233	0.882596338	1.991425604	2.759319594	3.561225177	4.378094313	5.203973676	6.036908703
0.477540128	0.521259463	0.678775587	0.88957375	1.993622859	2.761211334	3.563514789	4.382546198	5.207836214	6.038741004
0.514038585	0.529188582	0.689094642	0.897598854	1.996562322	2.762589259	3.565743007	4.383148317	5.212149311	6.04289239
0.524207143	0.537920092	0.700425378	0.906615664	1.999636648	2.765443997	3.567090118	4.38601192	5.21318023	6.046427483
0.531032664	0.547859475	0.71225389	0.916101659	2.003623666	2.767998967	3.569345889	4.386792451	5.214205821	6.048367983
0.538485394	0.55858168	0.724219084	0.926287253	2.007463936	2.770796601	3.57097625	4.389416682	5.216713316	6.04870047
