0.200114654	0.35723887	0.514388936	0.839539181	1.974386952	2.744094952	3.546943433	4.366592006	5.195200101	6.028018045
0.393347624	0.474830335	0.634071711	0.871680415	1.984270106	2.75092229	3.553354168	4.372251191	5.199434945	6.032168319
0.485580766	0.521723495	0.680839093	0.89098143	1.993993898	2.760713055	3.563031683	4.383551633	5.208134396	6.039112138
0.532294508	0.550360421	0.716333473	0.919494098	2.004466711	2.768449859	3.5700708	4.387752513	5.215866104	6.047768115
0.558584639	0.587991847	0.754873432	0.953442381	2.019135487	2.779542836	3.577720763	4.39441286	5.22190518	6.052763982
0.590395334	0.633112858	0.776828194	0.990217383	2.037836641	2.79255634	3.588220844	4.40308192	5.228530756	6.060042467
0.627176159	0.684690892	0.789086606	1.025854115	2.059970394	2.808966124	3.601163081	4.412688252	5.237464247	6.066443574
0.667959193	0.740854913	0.803085648	1.036562943	2.086324071	2.828438294	3.616529807	4.42590618	5.247488394	6.076197584
0.712557128	0.786631606	0.818909334	1.048527285	2.108030928	2.850358076	3.633746092	4.439879638	5.258785664	6.085190882
0.759571663	0.804749595	0.836303871	1.062377258	2.116749557	2.875142573	3.653298528	4.454927265	5.27204524	6.09869157
0.80876575	0.824534549	0.855415589	1.077116121	2.126201281	2.886193404	3.674234581	4.472795704	5.28804623	6.109488606
